"Plot Title: DUNGENESS MEADOWS						",,,,,,
#,Date Time," GMT-07:00""	""Temp", °C (LGR S/N: 10490314," SEN S/N: 10490314)""	Coupler Detached (LGR S/N: 10490314)	Coupler Attached (LGR S/N: 10490314)	Stopped (LGR S/N: 10490314)	End Of File (LGR S/N: 10490314)",,
145,6/22/2015 13:00,14.194,,,,
146,6/22/2015 14:00,14.768,,,,
147,6/22/2015 15:00,15.39,,,,
148,6/22/2015 16:00,15.796,,,,
149,6/22/2015 17:00,15.652,,,,
150,6/22/2015 18:00,15.27,,,,
151,6/22/2015 19:00,14.673,,,,
152,6/22/2015 20:01,14.026,,,,
153,6/22/2015 21:01,13.57,,,,
154,6/22/2015 22:01,13.161,,,,
155,6/22/2015 23:01,12.751,,,,
156,6/23/2015 0:01,12.389,,,,
157,6/23/2015 1:01,12.074,,,,
158,6/23/2015 2:01,11.783,,,,
159,6/23/2015 3:01,11.516,,,,
160,6/23/2015 4:01,11.297,,,,
161,6/23/2015 5:01,11.078,,,,
162,6/23/2015 6:01,10.907,,,,
163,6/23/2015 7:01,10.81,,,,
164,6/23/2015 8:02,10.907,,,,
165,6/23/2015 9:02,11.297,,,,
166,6/23/2015 10:02,12.001,,,,
167,6/23/2015 11:02,12.871,,,,
168,6/23/2015 12:02,13.834,,,,
169,6/23/2015 13:02,14.792,,,,
170,6/23/2015 14:02,15.605,,,,
171,6/23/2015 15:02,16.129,,,,
172,6/23/2015 16:02,16.463,,,,
173,6/23/2015 17:02,16.272,,,,
174,6/23/2015 18:02,15.891,,,,
175,6/23/2015 19:02,15.342,,,,
176,6/23/2015 20:03,14.816,,,,
177,6/23/2015 21:03,14.314,,,,
178,6/23/2015 22:03,13.882,,,,
179,6/23/2015 23:03,13.546,,,,
180,6/24/2015 0:03,13.209,,,,
181,6/24/2015 1:03,12.944,,,,
182,6/24/2015 2:03,12.727,,,,
183,6/24/2015 3:03,12.558,,,,
184,6/24/2015 4:03,12.413,,,,
185,6/24/2015 5:03,12.243,,,,
186,6/24/2015 6:03,12.074,,,,
187,6/24/2015 7:03,11.953,,,,
188,6/24/2015 8:04,12.05,,,,
189,6/24/2015 9:04,12.509,,,,
190,6/24/2015 10:04,13.064,,,,
191,6/24/2015 11:04,13.69,,,,
192,6/24/2015 12:04,13.93,,,,
193,6/24/2015 13:04,13.954,,,,
194,6/24/2015 14:04,13.858,,,,
195,6/24/2015 15:04,14.242,,,,
196,6/24/2015 16:04,14.481,,,,
197,6/24/2015 17:04,14.745,,,,
198,6/24/2015 18:04,14.625,,,,
199,6/24/2015 19:04,14.361,,,,
200,6/24/2015 20:05,14.026,,,,
201,6/24/2015 21:05,13.642,,,,
202,6/24/2015 22:05,13.257,,,,
203,6/24/2015 23:05,12.992,,,,
204,6/25/2015 0:05,12.751,,,,
205,6/25/2015 1:05,12.582,,,,
206,6/25/2015 2:05,12.437,,,,
207,6/25/2015 3:05,12.292,,,,
208,6/25/2015 4:05,12.122,,,,
209,6/25/2015 5:05,11.977,,,,
210,6/25/2015 6:05,11.856,,,,
211,6/25/2015 7:05,11.807,,,,
212,6/25/2015 8:06,11.904,,,,
213,6/25/2015 9:06,12.34,,,,
214,6/25/2015 10:06,13.137,,,,
215,6/25/2015 11:06,14.026,,,,
216,6/25/2015 12:06,15.008,,,,
217,6/25/2015 13:06,15.915,,,,
218,6/25/2015 14:06,16.701,,,,
219,6/25/2015 15:06,17.272,,,,
220,6/25/2015 16:06,17.629,,,,
